Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,is_first_party
FIFA Soccer 13,PSP,2012,Action,Electronic Arts,0.05,0.18,0.02,0.09,0.35,Electronic Arts,False
The Fairly Odd Parents: Shadow Showdown,PS2,2004,Platform,THQ,0.17,0.13,0.0,0.04,0.35,Unknown,False
EA Sports MMA,X360,2010,Fighting,Electronic Arts,0.23,0.09,0.0,0.02,0.35,EA Tiburon,False
Saban's Power Rangers: Lightspeed Rescue,PS,2000,Action,THQ,0.19,0.13,0.0,0.02,0.35,Unknown,False
Xbox Music Mixer,XB,2003,Misc,Microsoft Game Studios,0.26,0.08,0.0,0.01,0.35,WildTangent,True
Defiance,PS3,2013,Shooter,Trion Worlds,0.19,0.1,0.0,0.06,0.35,Trion Worlds,False
Terminator Salvation,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.18,0.0,0.04,0.35,GRIN,False
CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,Ubisoft,0.16,0.15,0.0,0.04,0.35,Unknown,False
College Hoops 2K8,PS2,2007,Sports,Take-Two Interactive,0.17,0.13,0.0,0.04,0.35,Visual Concepts,False
Destiny: The Taken King,X360,2015,Shooter,Activision,0.24,0.08,0.0,0.03,0.35,"Bungie Software, Bungie",False
Pac-Man All-Stars,PS3,2011,Fighting,Namco Bandai Games,0.2,0.07,0.04,0.04,0.35,Unknown,False
Guitar Hero: Metallica,PS2,2009,Misc,Activision,0.17,0.13,0.0,0.04,0.35,Neversoft Entertainment,False
Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35,Arc System Works,False
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,0.32,0.0,0.0,0.02,0.35,Destination Software,False
Tom Clancy's Rainbow Six: Lockdown,PS2,2005,Shooter,Ubisoft,0.17,0.13,0.0,0.04,0.35,"Red Storm Entertainment, Ubisoft Montreal",False
From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001,Role-Playing,Namco Bandai Games,0.0,0.0,0.32,0.02,0.35,Unknown,False
MotoGP 08,X360,2008,Racing,Capcom,0.11,0.2,0.0,0.04,0.35,Milestone S.r.l,False
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03,0.35,TT Games,False
The Tale of Despereaux,PS2,2008,Platform,Brash Entertainment,0.17,0.13,0.0,0.04,0.35,Brash Entertainment,False
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.35,"Z-Axis, Ltd.",False
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35,EA DICE,False
Sniper Elite 3,XOne,2014,Shooter,505 Games,0.2,0.11,0.0,0.03,0.35,Rebellion,False
Hello Kitty Daily,DS,2008,Misc,Nobilis,0.32,0.0,0.0,0.03,0.35,Unknown,False
NFL Street,GC,2004,Sports,Electronic Arts,0.27,0.07,0.0,0.01,0.35,EA Tiburon,False
Karaoke Revolution,PS2,2003,Misc,Konami Digital Entertainment,0.17,0.13,0.0,0.04,0.35,Harmonix Music Systems,False
Metal Arms: Glitch in the System,PS2,2003,Shooter,Vivendi Games,0.17,0.13,0.0,0.04,0.35,Mass Media,False
Tropico 4,X360,-1,Strategy,Kalypso Media,0.2,0.12,0.0,0.03,0.35,Haemimont,False
Jikkyou Powerful Pro Yakyuu 7,PS2,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.35,0.0,0.35,Unknown,False
Rally Cross 2,PS,1998,Racing,989 Studios,0.19,0.13,0.0,0.02,0.35,Unknown,False
EverGrace,PS2,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,From Software,False
Enemy Territory: Quake Wars,PS3,2008,Shooter,Activision,0.23,0.07,0.0,0.04,0.35,"Z-Axis, Ltd.",False
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,Kadokawa Shoten,0.19,0.13,0.0,0.02,0.35,Game Arts,False
Street Fighter Alpha: Warriors' Dreams,SAT,1996,Fighting,Capcom,0.0,0.0,0.35,0.0,0.35,Unknown,False
Rugrats: Royal Ransom,PS2,2002,Platform,THQ,0.17,0.13,0.0,0.04,0.35,Avalanche Software,False
MLB 06: The Show,PSP,2006,Sports,Sony Computer Entertainment,0.32,0.0,0.0,0.03,0.35,SCEA San Diego Studios,True
Over the Hedge,GC,2006,Platform,Activision,0.27,0.07,0.0,0.01,0.35,Edge of Reality,False
Tomb Raider (2013),PC,-1,Action,Square Enix,0.06,0.25,0.0,0.04,0.35,"Crystal Dynamics, Nixxes Software",False
Charlie and the Chocolate Factory,PS2,2005,Adventure,Global Star,0.17,0.13,0.0,0.04,0.35,"High Voltage Software, Backbone Entertainment",False
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35,Nadeo,False
Kurushi Final: Mental Blocks,PS,1998,Puzzle,Sony Computer Entertainment,0.0,0.0,0.32,0.02,0.34,Unknown,True
Risk / Battleship / Clue,GBA,2005,Misc,Zoo Digital Publishing,0.25,0.09,0.0,0.01,0.34,Unknown,False
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,0.2,0.11,0.0,0.03,0.34,Electronic Arts,False
Def Jam Icon,X360,2007,Action,Electronic Arts,0.3,0.01,0.0,0.03,0.34,EA Chicago,False
SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,Unknown,False
The Wild Thornberrys Movie,GBA,2002,Platform,THQ,0.25,0.09,0.0,0.01,0.34,Human Soft,False
High School Musical 3: Senior Year DANCE!,PS2,2008,Misc,Disney Interactive Studios,0.17,0.13,0.0,0.04,0.34,Unknown,False
Hannah Montana: The Movie,Wii,2009,Adventure,Disney Interactive Studios,0.13,0.18,0.0,0.04,0.34,n-Space,False
Dynasty Warriors 5 Empires,PS2,2006,Action,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,Omega Force,False
Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,0.22,0.09,0.01,0.03,0.34,Treyarch,False
Transformers: Dark of the Moon,PS3,2011,Action,Activision,0.11,0.18,0.0,0.06,0.34,High Moon Studios,False
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,Namco,False
WipEout 3,PS,1999,Racing,Psygnosis,0.19,0.13,0.0,0.02,0.34,Psygnosis,False
UEFA Euro 2008 Austria-Switzerland,X360,2008,Sports,Electronic Arts,0.08,0.23,0.0,0.03,0.34,Unknown,False
SpongeBob's Boating Bash,Wii,2010,Misc,THQ,0.24,0.07,0.0,0.03,0.34,Impulse Games,False
Classic NES Series: Ice Climber,GBA,2004,Platform,Nintendo,0.1,0.04,0.2,0.01,0.34,Nintendo,True
Pirates of the Caribbean: At World's End,DS,2007,Action,Disney Interactive Studios,0.3,0.01,0.01,0.03,0.34,Amaze Entertainment,False
WWE '12,Wii,2011,Fighting,THQ,0.23,0.08,0.0,0.03,0.34,Yuke's,False
WWE All Stars,X360,2011,Fighting,THQ,0.18,0.14,0.0,0.03,0.34,THQ,False
Mini Ninjas,PS3,2009,Action,Eidos Interactive,0.14,0.15,0.0,0.06,0.34,Io Interactive,False
Tekken Tag Tournament 2,X360,2012,Fighting,Namco Bandai Games,0.19,0.11,0.01,0.03,0.34,Namco Bandai Games,False
Freeway,2600,1980,Action,Activision,0.32,0.02,0.0,0.0,0.34,Unknown,False
Driver 2 Advance,GBA,2002,Action,Atari,0.25,0.09,0.0,0.01,0.34,Sennari Interactive,False
Monster Rancher 4,PS2,2003,Simulation,Tecmo Koei,0.08,0.06,0.19,0.02,0.34,Tecmo,False
Mini Ninjas,DS,2009,Action,Eidos Interactive,0.16,0.15,0.0,0.04,0.34,Magic Pockets,False
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,Adventure,Disney Interactive Studios,0.17,0.13,0.0,0.04,0.34,Capcom,False
Iron Storm,SAT,1995,Shooter,Sega,0.0,0.0,0.34,0.0,0.34,Unknown,False
Battalion Wars 2,Wii,2007,Strategy,Nintendo,0.22,0.02,0.08,0.02,0.34,Kuju Entertainment,True
MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,0.07,0.03,0.0,0.25,0.34,Virtuos,True
The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,THQ,0.25,0.09,0.0,0.01,0.34,Unknown,False
Marvel Super Heroes,PS,1997,Fighting,Virgin Interactive,0.19,0.13,0.0,0.02,0.34,Unknown,False
Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.34,Taito Corporation,False
Hitman: Contracts,XB,2004,Shooter,Eidos Interactive,0.26,0.07,0.0,0.01,0.34,Io Interactive,False
Supreme Commander 2,X360,2010,Strategy,Square Enix,0.23,0.09,0.0,0.03,0.34,Gas Powered Games,False
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,Eidos Interactive,0.17,0.13,0.0,0.04,0.34,Core Design Ltd.,False
Frostbite,2600,1983,Action,Activision,0.32,0.02,0.0,0.0,0.34,Unknown,False
Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0.0,0.0,0.34,Unknown,False
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo,0.07,0.14,0.11,0.02,0.34,Unknown,True
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,0.31,0.0,0.0,0.03,0.34,Unknown,False
Racquet Sports,PS3,2010,Sports,Ubisoft,0.11,0.17,0.0,0.06,0.34,Asobo Studio,False
Company of Heroes 2,PC,2013,Strategy,THQ,0.06,0.25,0.0,0.04,0.34,Relic,False
Trauma Center: Second Opinion,Wii,2006,Simulation,Nintendo,0.28,0.01,0.03,0.03,0.34,Atlus,True
DanceDanceRevolution,Wii,2010,Simulation,Konami Digital Entertainment,0.28,0.04,0.0,0.02,0.34,Konami,False
WWE Day of Reckoning 2,GC,2005,Fighting,THQ,0.26,0.07,0.0,0.01,0.34,Yuke's,False
NBA 2K12,Wii,2011,Sports,Take-Two Interactive,0.29,0.03,0.0,0.02,0.34,Visual Concepts,False
The Urbz: Sims in the City,XB,2004,Simulation,Electronic Arts,0.22,0.11,0.0,0.01,0.34,Maxis,False
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34,Unknown,False
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010,Sports,Sega,0.09,0.19,0.0,0.07,0.34,Unknown,False
Night Warriors: Darkstalkers' Revenge,SAT,1995,Fighting,Virgin Interactive,0.0,0.0,0.34,0.0,0.34,Unknown,False
Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34,Ubisoft Montpellier,False
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,THQ,0.31,0.0,0.0,0.02,0.34,Tantatus,False
Monopoly,PS3,2008,Misc,Electronic Arts,0.25,0.05,0.0,0.04,0.34,Electronic Arts,False
SimCity Creator,DS,2008,Simulation,Electronic Arts,0.29,0.02,0.0,0.03,0.34,Electronic Arts,False
Off Road Challenge,N64,1998,Racing,GT Interactive,0.27,0.06,0.0,0.0,0.34,Unknown,False
Tenchu Z,X360,2006,Action,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34,K2 LLC,True
Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34,Unknown,False
Conan,PS3,2007,Action,THQ,0.13,0.15,0.0,0.05,0.34,Nihilistic,False
Backstreet Billiards,PS,1998,Misc,ASCII Entertainment,0.19,0.13,0.0,0.02,0.34,Unknown,False
Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0.0,0.0,0.34,Unknown,False
Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,Vivendi Games,0.17,0.13,0.0,0.04,0.34,High Voltage Software,False
MVP 06 NCAA Baseball,XB,2006,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.34,EA Canada,False
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.34,Racjin,False
Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,Misc,Hudson Soft,0.0,0.0,0.34,0.0,0.34,Unknown,False
Point Blank,PS,1997,Shooter,Sony Computer Entertainment,0.05,0.03,0.23,0.02,0.34,Unknown,True
Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios,0.2,0.11,0.0,0.03,0.34,Unknown,False
Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive Entertainment,0.28,0.04,0.0,0.03,0.34,Unknown,False
F.E.A.R.,X360,2006,Shooter,Vivendi Games,0.28,0.03,0.0,0.03,0.34,Day 1 Studios,False
Tiny Tank,PS,1998,Action,Sony Computer Entertainment,0.19,0.13,0.0,0.02,0.34,Unknown,True
Yu-Gi-Oh! 5D's Tag Force 5,PSP,2010,Strategy,Konami Digital Entertainment,0.13,0.04,0.14,0.03,0.34,Unknown,False
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,Strategy,Ubisoft,0.22,0.09,0.0,0.03,0.34,Ubisoft,False
Smart Girl's Party Game,DS,2008,Misc,505 Games,0.31,0.0,0.0,0.02,0.34,Starfish,False
Spy Hunter,XB,2002,Racing,Midway Games,0.25,0.07,0.0,0.01,0.34,Point of View,False
James Bond 007: Legends,PS3,2012,Shooter,Activision,0.11,0.16,0.0,0.07,0.34,Unknown,False
The Sims 3: Town Life Stuff,PC,2011,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34,The Sims Studio,False
Herbie: Fully Loaded,GBA,2005,Racing,Disney Interactive Studios,0.24,0.09,0.0,0.01,0.34,Buena Vista Interactive,False
Teenage Mutant Ninja Turtles,GC,2003,Action,Konami Digital Entertainment,0.26,0.07,0.0,0.01,0.34,Konami,False
Kameo: Elements of Power,X360,2005,Action,Microsoft Game Studios,0.28,0.03,0.0,0.03,0.34,Rare Ltd.,True
Football Manager Handheld 2008,PSP,2007,Sports,Sega,0.0,0.33,0.0,0.0,0.34,Unknown,False
Dynasty Warriors 6 Empires,PS3,2009,Action,Tecmo Koei,0.14,0.03,0.15,0.02,0.34,Omega Force,False
The Shoot,PS3,2010,Shooter,Sony Computer Entertainment,0.13,0.15,0.01,0.05,0.34,Cohort Studios,True
Disney Sing It: Pop Hits,PS2,2009,Misc,Disney Interactive Studios,0.1,0.02,0.0,0.22,0.34,Unknown,False
Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.34,Unknown,False
My Baby Boy,DS,2008,Simulation,Nobilis,0.3,0.01,0.0,0.03,0.34,Dancing Dots,False
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,0.28,0.0,0.03,0.02,0.34,1st Playable Productions,False
Dynasty Warriors: Gundam 2,PS2,2008,Action,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,Omega Force,False
Star Ocean: Second Evolution,PSP,2008,Role-Playing,Square Enix,0.14,0.01,0.16,0.02,0.34,TOSE,False
Imagine: Movie Star,DS,2008,Simulation,Ubisoft,0.31,0.0,0.0,0.03,0.34,"Ubisoft, Powerhead Games",False
Fade to Black,PS,1996,Action,Electronic Arts,0.19,0.13,0.0,0.02,0.34,Unknown,False
MXRider,PS2,2001,Racing,Atari,0.16,0.13,0.0,0.04,0.34,Paradigm Entertainment,False
Disney Magic World 2,3DS,2015,Action,Nintendo,0.02,0.11,0.19,0.01,0.34,Unknown,True
Delta Force: Black Hawk Down,XB,2005,Shooter,NovaLogic,0.25,0.07,0.0,0.01,0.34,Climax Group,False
Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios,0.29,0.02,0.0,0.03,0.34,Eurocom Entertainment Software,False
Angry Birds Star Wars,3DS,2013,Strategy,Activision,0.15,0.15,0.0,0.03,0.34,Exient Entertainment,False
World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive,0.16,0.13,0.0,0.04,0.34,Point of View,False
The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,0.28,0.0,0.02,0.03,0.33,SCEJ,True
Sengoku Musou 3 Z,PS3,2011,Action,Ackkstudios,0.0,0.0,0.33,0.0,0.33,Unknown,False
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft,0.21,0.11,0.0,0.01,0.33,Ubisoft Shanghai,False
Iron Man 2,DS,2010,Action,Sega,0.14,0.16,0.0,0.03,0.33,Sega Studios San Francisco,False
Tokyo Highway Battle,PS,1996,Racing,Jaleco,0.06,0.04,0.21,0.02,0.33,Unknown,False
NHL 09,PS3,2008,Sports,Electronic Arts,0.29,0.02,0.0,0.03,0.33,EA Canada,False
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33,Square Enix,False
Beyond Good & Evil,PS2,2003,Adventure,Ubisoft,0.16,0.13,0.0,0.04,0.33,Unknown,False
Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,THQ,0.24,0.09,0.0,0.01,0.33,Rare Ltd.,False
Bomberman World,PS,1998,Puzzle,Sony Computer Entertainment,0.06,0.04,0.22,0.02,0.33,Unknown,True
Bejeweled 3,DS,-1,Puzzle,Unknown,0.29,0.02,0.0,0.02,0.33,PopCap,False
NHL 17,PS4,2016,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33,"EA Canada, EA Vancouver",False
Mega Man ZX Advent,DS,2007,Platform,Capcom,0.22,0.0,0.09,0.02,0.33,Inti Creates,False
Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,Activision,0.17,0.13,0.0,0.03,0.33,Unknown,False
NCAA Basketball 10,PS3,2009,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33,EA Canada,False
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.07,0.09,0.15,0.03,0.33,Unknown,False
Jeanne d'Arc,PSP,2006,Role-Playing,Sony Computer Entertainment,0.21,0.0,0.1,0.02,0.33,Level 5,True
Deathtrap Dungeon,PS,1998,Action,Eidos Interactive,0.19,0.13,0.0,0.02,0.33,Unknown,False
Tales of the World: Radiant Mythology 2,PSP,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,Unknown,False
Night at the Museum: Battle of the Smithsonian,DS,2009,Action,Majesco Entertainment,0.12,0.18,0.0,0.04,0.33,Fizz Factor,False
Harry Potter and the Deathly Hallows - Part 2,X360,2011,Action,Electronic Arts,0.19,0.11,0.0,0.03,0.33,EA Bright Light,False
Avatar: The Last Airbender,DS,2006,Adventure,THQ,0.3,0.01,0.0,0.03,0.33,TOSE,False
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0.0,0.05,0.33,Shift,True
WWE Wrestlemania XIX,GC,2003,Fighting,THQ,0.26,0.07,0.0,0.01,0.33,Yuke's,False
The Sims 2,GC,2005,Simulation,Electronic Arts,0.26,0.07,0.0,0.01,0.33,Maxis,False
Hulk,XB,2003,Action,Universal Interactive,0.25,0.07,0.0,0.01,0.33,Radical Entertainment,False
Untold Legends: The Warriors Code,PSP,2006,Role-Playing,Ubisoft,0.14,0.12,0.0,0.08,0.33,Sony Online Entertainment,False
Klonoa 2: Lunatea's Veil,PS2,2001,Platform,Sony Computer Entertainment,0.12,0.1,0.08,0.03,0.33,Namco,True
Deus Ex: Invisible War,XB,2003,Shooter,Eidos Interactive,0.25,0.07,0.0,0.01,0.33,Ion Storm,False
Disney's Treasure Planet,PS2,2002,Action,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,Bizarre Creations,True
NASCAR Thunder 2002,XB,2001,Racing,Electronic Arts,0.25,0.07,0.0,0.01,0.33,EA Tiburon,False
The King of Fighters XIII,X360,2011,Fighting,Rising Star Games,0.23,0.06,0.01,0.03,0.33,SNK Playmore,False
BeatMania Append GottaMix,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33,Unknown,False
Tak 2: The Staff of Dreams,GC,2004,Platform,THQ,0.26,0.07,0.0,0.01,0.33,Avalanche Software,False
Fracture,X360,2008,Shooter,LucasArts,0.15,0.14,0.0,0.04,0.33,Day 1 Studios,False
Ninja Blade,X360,2009,Action,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33,From Software,True
Bookworm,DS,2009,Puzzle,PopCap Games,0.3,0.01,0.0,0.02,0.33,PopCap,False
LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment,0.16,0.11,0.0,0.06,0.33,TT Games,False
Bee Movie Game,Wii,2007,Action,Activision,0.3,0.01,0.0,0.03,0.33,Smart Bomb Interactive,False
Kelly Slater's Pro Surfer,PS2,2002,Sports,Activision,0.16,0.13,0.0,0.04,0.33,Treyarch,False
Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive,0.05,0.18,0.03,0.07,0.33,City Interactive,False
Shrek SuperSlam,GBA,2005,Action,Activision,0.24,0.09,0.0,0.01,0.33,"Amaze Entertainment, Griptonite Games",False
Legends of Wrestling II,PS2,2002,Fighting,Acclaim Entertainment,0.16,0.13,0.0,0.04,0.33,Acclaim,False
World Stadium 3,PS,1999,Sports,Namco Bandai Games,0.0,0.0,0.31,0.02,0.33,Unknown,False
LEGO Pirates of the Caribbean: The Video Game,PSP,2011,Action,Disney Interactive Studios,0.12,0.13,0.0,0.08,0.33,Traveller's Tales,False
Extra Bases,GB,1990,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,Unknown,False
Super Power League 2,SNES,1994,Sports,Hudson Soft,0.0,0.0,0.33,0.0,0.33,Unknown,False
Virtua Tennis 2009,X360,2009,Sports,Sega,0.12,0.18,0.0,0.03,0.33,Sumo Digital,False
Street Fighter Alpha 3 MAX,PSP,2006,Fighting,Capcom,0.27,0.01,0.02,0.03,0.33,Capcom,False
MLB 09: The Show,PS2,2009,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,SCEA San Diego Studios,True
Cool Boarders 2001,PS2,2001,Sports,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,Idol Minds,True
Hell's Kitchen: The Game,Wii,2008,Simulation,Ubisoft,0.3,0.0,0.0,0.03,0.33,Unknown,False
Classic NES Series: Castlevania,GBA,2004,Platform,Nintendo,0.17,0.06,0.09,0.01,0.33,Konami,True
Scooby-Doo! First Frights,PS2,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0.0,0.16,0.33,Unknown,False
Fight Night Round 3,XB,2006,Fighting,Electronic Arts,0.26,0.06,0.0,0.01,0.33,EA Chicago,False
GT Advance Championship Racing,GBA,2001,Racing,THQ,0.24,0.09,0.0,0.01,0.33,MTO,False
Way of the Samurai 2,PS2,2003,Action,Capcom,0.05,0.04,0.23,0.01,0.33,Acquire,False
Planet Puzzle League,DS,2007,Puzzle,Nintendo,0.14,0.01,0.16,0.01,0.33,Intelligent Systems,True
BattleTanx,N64,1998,Action,3DO,0.26,0.06,0.0,0.0,0.33,Unknown,False
Custom Robo,N64,-1,Role-Playing,Nintendo,0.0,0.0,0.29,0.04,0.33,Unknown,True
Naruto: Rise of a Ninja,X360,2007,Action,Ubisoft,0.29,0.01,0.0,0.03,0.33,Ubisoft Montreal,False
Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision,0.26,0.04,0.0,0.03,0.33,Activision,False
Hatsune Miku: Project Diva Extend,PSP,2011,Misc,Sega,0.0,0.0,0.33,0.0,0.33,Unknown,False
Pitfall 3D: Beyond the Jungle,PS,1998,Platform,Activision,0.18,0.12,0.0,0.02,0.33,Unknown,False
Disgaea 2: Cursed Memories,PS2,2006,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33,Nippon Ichi Software,False
Clock Tower 3,PS2,2002,Adventure,Capcom,0.1,0.08,0.12,0.03,0.33,SunSoft,False
Battle Dodge Ball,SNES,1991,Sports,Banpresto,0.0,0.0,0.33,0.0,0.33,Unknown,False
Etrian Odyssey,DS,2007,Role-Playing,Nintendo,0.19,0.02,0.09,0.02,0.33,"Lancarse, Atlus",True
Call Of Duty 2: Big Red One,GC,2005,Shooter,Activision,0.25,0.07,0.0,0.01,0.33,Treyarch,False
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,Arc System Works,False
Night at the Museum: Battle of the Smithsonian,Wii,2009,Action,Majesco Entertainment,0.17,0.13,0.0,0.03,0.33,"Pipeworks Software, Inc.",False
Disgaea: Hour of Darkness,PS2,2003,Role-Playing,Tecmo Koei,0.16,0.13,0.0,0.04,0.33,Nippon Ichi Software,False
NeoGeo Battle Coliseum,PS2,2005,Fighting,Ignition Entertainment,0.16,0.13,0.0,0.04,0.33,SNK Playmore,False
Resonance of Fate,X360,2010,Role-Playing,Sega,0.12,0.13,0.06,0.03,0.33,Tri-Ace,False
Harry Potter and the Deathly Hallows - Part 2,Wii,2011,Action,Electronic Arts,0.17,0.13,0.0,0.03,0.33,EA Bright Light,False
We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games,0.0,0.29,0.0,0.04,0.33,Unknown,False
SpongeBob SquarePants: Creature from the Krusty Krab,GC,2006,Platform,THQ,0.25,0.07,0.0,0.01,0.33,Blitz Games,False
MLB 08: The Show,PSP,2008,Sports,Sony Computer Entertainment,0.3,0.0,0.0,0.02,0.33,SCEA San Diego Studios,True
Parodius,PS,1994,Shooter,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33,Unknown,False
The X-Factor,Wii,2010,Misc,Deep Silver,0.0,0.28,0.0,0.04,0.33,Unknown,False
Spy Kids 3-D: Game Over,GBA,2003,Platform,Disney Interactive Studios,0.24,0.09,0.0,0.01,0.33,Digital Eclipse,False
Sakura Wars 3: Paris wa Moeteiru ka,DC,2001,Adventure,Sega,0.0,0.0,0.33,0.0,0.33,Unknown,False
Capcom Classics Collection Reloaded,PSP,2006,Misc,Capcom,0.26,0.0,0.03,0.03,0.33,"Capcom, Klein Computer Entertainment",False
NCAA GameBreaker 2001,PS,2000,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.33,989 Sports,True
Power Rangers: Ninja Storm,GBA,2003,Misc,THQ,0.24,0.09,0.0,0.01,0.33,Natsume,False
Naruto: Gekito Ninja Taisen! 4,GC,2005,Fighting,Tomy Corporation,0.0,0.0,0.32,0.01,0.33,Unknown,False
Medal of Honor: Warfighter,PC,2012,Action,Electronic Arts,0.14,0.15,0.0,0.04,0.33,Danger Close,False
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,Unknown,False
MVP Baseball 2005,GC,2005,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.33,EA Sports,False
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,2007,Misc,Rocket Company,0.0,0.0,0.33,0.0,0.33,Unknown,False
SSX Blur,Wii,2007,Sports,Electronic Arts,0.29,0.01,0.0,0.03,0.33,EA Montreal,False
DX Game of Life 2,PS,1997,Misc,Takara,0.0,0.0,0.31,0.02,0.33,Unknown,False
Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software,0.09,0.05,0.15,0.04,0.33,Spike Chunsoft,False
NBA Live 96,PS,1996,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33,Unknown,False
